Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Tom Aspinall,Ciryl Gane,Draw,CNC,1,4:35,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mackenzie Dern,Virna Jandiroba,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Bantamweight,Umar Nurmagomedov,Mario Bautista,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Alexander Volkov,Jailton Almeida,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Light Heavyweight,Azamat Murzakanov,Aleksandar Rakic,Draw,"KO/TKO

      

        Punch",1,3:11,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Quillan Salkilld,Nasrat Haqparast,Draw,"KO/TKO

      

        Kick",1,2:30,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Middleweight,Ikram Aliskerov,JunYong Park,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Ludovit Klein,Mateusz Rebecki,Draw,M-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Valter Walker,Louie Sutherland,Draw,"SUB

      

        Heel Hook",1,1:24,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Featherweight,Nathaniel Wood,Jose Delgado,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Hamdy Abdelwahab,Chris Barnett,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Flyweight,Mitch Raposo,Azat Maksum,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mizuki,Jaqueline Amorim,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Brendan Allen,Reinier de Ridder,Draw,KO/TKO,4,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Welterweight,Mike Malott,Kevin Holland,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Aiemann Zahabi,Marlon Vera,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Flyweight,Manon Fiorot,Jasmine Jasudavicius,Draw,"KO/TKO

      

        Punches",1,1:14,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Charles Jourdain,Davey Grant,Draw,"SUB

      

        Guillotine Choke",1,3:05,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Lightweight,Kyle Nelson,Matt Frevola,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Lightweight,Drew Dober,Kyle Prepolec,Draw,"KO/TKO

      

        Punches",3,1:16,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Aoriqileng,Cody Gibson,Draw,"KO/TKO

      

        Punch",1,0:21,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Flyweight,Bruno Silva,HyunSung Park,Draw,"SUB

      

        Rear Naked Choke",3,2:15,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Djorden Santos,Danny Barlow,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Strawweight,Stephanie Luciano,Ravena Oliveira,Draw,"SUB

      

        Rear Naked Choke",3,2:50,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Yousri Belgaroui,Azamat Bekoev,Draw,"KO/TKO

      

        Punches",3,0:55,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Bantamweight,Melissa Croden,Tainara Lisboa,Draw,"KO/TKO

      

        Punches",3,4:32,http://ufcstats.com/event-details/38e5d9dcb0fddc42
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Lightweight,Charles Oliveira,Mateusz Gamrot,Draw,"SUB

      

        Rear Naked Choke",2,2:48,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Bantamweight,Deiveson Figueiredo,Montel Jackson,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Welterweight,Joel Alvarez,Vicente Luque,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Heavyweight,Mario Pinto,Jhonata Diniz,Draw,"KO/TKO

      

        Punches",2,4:10,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Featherweight,Kaan Ofli,Ricardo Ramos,Draw,"SUB

      

        Rear Naked Choke",1,3:02,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Featherweight,Michael Aswell Jr.,Lucas Almeida,Draw,"KO/TKO

      

        Punches",1,1:42,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Flyweight,Jafel Filho,Clayton Carpenter,Draw,"SUB

      

        Kimura",1,4:42,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Heavyweight,Vitor Petrino,Thomas Petersen,Draw,"KO/TKO

      

        Punch",3,0:26,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Women's Bantamweight,Bia Mesquita,Irina Alekseeva,Draw,"SUB

      

        Rear Naked Choke",2,2:14,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Flyweight,Lucas Rocha,Stewart Nicoll,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Women's Strawweight,Julia Polastri,Karolina Kowalkiewicz,Draw,"KO/TKO

      

        Punches",3,2:56,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Bantamweight,Luan Lacerda,Saimon Oliveira,Draw,"SUB

      

        Armbar",2,3:55,http://ufcstats.com/event-details/9336e86cfd4ceaa1
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Light Heavyweight,Alex Pereira,Magomed Ankalaev,Draw,"KO/TKO

      

        Elbows",1,1:20,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Bantamweight,Merab Dvalishvili,Cory Sandhagen,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Light Heavyweight,Jiri Prochazka,Khalil Rountree Jr.,Draw,"KO/TKO

      

        Punches",3,3:04,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Featherweight,Youssef Zalal,Josh Emmett,Draw,"SUB

      

        Armbar",1,1:38,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Middleweight,Joe Pyfer,Abus Magomedov,Draw,"SUB

      

        Rear Naked Choke",2,1:46,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Middleweight,Ateba Gautier,Tre'ston Vines,Draw,"KO/TKO

      

        Punches",1,1:41,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Catch Weight,Daniel Santos,JooSang Yoo,Draw,"KO/TKO

      

        Punch",2,0:21,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Bantamweight,Jakub Wiklacz,Patchy Mix,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Middleweight,Edmen Shahbazyan,Andre Muniz,Draw,"KO/TKO

      

        Elbows",1,4:58,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Welterweight,Punahele Soriano,Nikolay Veretennikov,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Women's Bantamweight,Yana Santos,Macy Chiasson,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Bantamweight,Farid Basharat,Chris Gutierrez,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Welterweight,Ramiz Brahimaj,Austin Vanderford,Draw,"SUB

      

        Guillotine Choke",2,2:24,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Women's Flyweight,Veronica Hardy,Brogan Walker,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Light Heavyweight,Carlos Ulberg,Dominick Reyes,Draw,"KO/TKO

      

        Punches",1,4:27,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Light Heavyweight,Jimmy Crute,Ivan Erslan,Draw,"SUB

      

        Rear Naked Choke",1,3:19,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Featherweight,Jack Jenkins,Ramon Taveras,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Welterweight,Neil Magny,Jake Matthews,Draw,"SUB

      

        D'Arce Choke",3,3:08,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Lightweight,Tom Nolan,Charlie Campbell,Draw,"SUB

      

        Rear Naked Choke",1,4:08,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Light Heavyweight,Navajo Stirling,Rodolfo Bellato,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Middleweight,Cam Rowston,Andre Petroski,Draw,"KO/TKO

      

        Punches",1,2:41,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Lightweight,Jamie Mullarkey,Rolando Bedoya,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Bantamweight,Colby Thicknesse,Josias Musasa,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Women's Bantamweight,Michelle Montague,Luana Carolina,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Heavyweight,Brando Pericic,Elisha Ellison,Draw,"KO/TKO

      

        Punches",1,1:55,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Women's Strawweight,Alexia Thainara,Loma Lookboonmee,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Featherweight,Diego Lopes,Jean Silva,Draw,"KO/TKO

      

        Punches",2,4:48,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Bantamweight,David Martinez,Rob Font,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Lightweight,Rafa Garcia,Jared Gordon,Draw,"KO/TKO

      

        Elbows",3,2:27,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Middleweight,Kelvin Gastelum,Dustin Stoltzfus,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Lightweight,Alexander Hernandez,Diego Ferreira,Draw,"KO/TKO

      

        Punches",2,3:46,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Bantamweight,Santiago Luna,Quang Le,Draw,"KO/TKO

      

        Punch",1,2:48,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Middleweight,Dusko Todorovic,Jose Daniel Medina,Draw,"SUB

      

        Rear Naked Choke",1,4:21,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Lightweight,Joaquim Silva,Claudio Puelles,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Women's Strawweight,Tatiana Suarez,Amanda Lemos,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Flyweight,Jesus Aguilar,Luis Gurule,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Middleweight,Zachary Reese,Sedriques Dumas,Draw,CNC,1,0:51,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Flyweight,Alden Coria,Alessandro Costa,Draw,"KO/TKO

      

        Punches",3,0:47,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Women's Bantamweight,Montse Rendon,Alice Pereira,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Welterweight,Daniil Donchenko,Rodrigo Sezinando,Draw,"KO/TKO

      

        Punches",1,4:27,http://ufcstats.com/event-details/5efaaf313b652dd7
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Middleweight,Nassourdine Imavov,Caio Borralho,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Lightweight,Benoit Saint Denis,Mauricio Ruffy,Draw,"SUB

      

        Rear Naked Choke",2,2:56,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Light Heavyweight,Modestas Bukauskas,Paul Craig,Draw,"KO/TKO

      

        Elbow",1,5:00,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Lightweight,Mason Jones,Bolaji Oki,Draw,"KO/TKO

      

        Elbows",2,3:18,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Welterweight,Axel Sola,Rhys McKee,Draw,"KO/TKO

      

        Punch",3,2:02,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Featherweight,William Gomis,Robert Ruchala,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Light Heavyweight,Oumar Sy,Brendson Ribeiro,Draw,"KO/TKO

      

        Punches",1,4:42,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Heavyweight,Ante Delija,Marcin Tybura,Draw,"KO/TKO

      

        Punches",1,2:03,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Lightweight,Kaue Fernandes,Harry Hardwick,Draw,"KO/TKO

      

        Kick",1,3:21,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Welterweight,Sam Patterson,Trey Waters,Draw,"KO/TKO

      

        Punches",1,3:01,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Middleweight,Robert Bryczek,Brad Tavares,Draw,"KO/TKO

      

        Punches",3,1:43,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Welterweight,Rinat Fakhretdinov,Andreas Gustafsson,Draw,"KO/TKO

      

        Punches",1,0:54,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Women's Strawweight,Sam Hughes,Shauna Bannon,Draw,"SUB

      

        Rear Naked Choke",2,1:58,http://ufcstats.com/event-details/6e380a4d73ab4f0e
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Light Heavyweight,Johnny Walker,Zhang Mingyang,Draw,"KO/TKO

      

        Punches",2,2:37,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Catch Weight,Aljamain Sterling,Brian Ortega,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Heavyweight,Sergei Pavlovich,Waldo Cortes-Acosta,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Flyweight,Sumudaerji,Kevin Borjas,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Welterweight,Taiyilake Nueraji,Kiefer Crosbie,Draw,"KO/TKO

      

        Elbows",1,3:33,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Lightweight,Gauge Young,Maheshate,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Flyweight,Charles Johnson,Lone'er Kavanagh,Draw,"KO/TKO

      

        Punch",2,4:35,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Lightweight,Rongzhu,Austin Hubbard,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Middleweight,Kyle Daukaus,Michel Pereira,Draw,"KO/TKO

      

        Elbows",1,0:43,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Featherweight,Yizha,Westin Wilson,Draw,"KO/TKO

      

        Punches",1,0:37,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Bantamweight,SuYoung You,Xiao Long,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/754968e325d6f60d
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Light Heavyweight,Uran Satybaldiev,Diyar Nurgozhay,Draw,"SUB

      

        Ezekiel Choke",1,2:45,http://ufcstats.com/event-details/754968e325d6f60d
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Middleweight,Khamzat Chimaev,Dricus Du Plessis,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Featherweight,Lerone Murphy,Aaron Pico,Draw,"KO/TKO

      

        Spinning Back Elbow",1,3:21,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Welterweight,Carlos Prates,Geoff Neal,Draw,"KO/TKO

      

        Spinning Back Elbow",1,4:59,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Middleweight,Michael Page,Jared Cannonier,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Flyweight,Tim Elliott,Kai Asakura,Draw,"SUB

      

        Guillotine Choke",2,4:39,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Middleweight,Baisangur Susurkaev,Eric Nolan,Draw,"SUB

      

        Rear Naked Choke",2,2:01,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Middleweight,Michal Oleksiejczuk,Gerald Meerschaert,Draw,"KO/TKO

      

        Punches",1,3:03,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Women's Strawweight,Loopy Godinez,Jessica Andrade,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Lightweight,Alexander Hernandez,Chase Hooper,Draw,"KO/TKO

      

        Punch",1,4:58,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Lightweight,Drakkar Klose,Edson Barboza,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Women's Flyweight,Karine Silva,Dione Barbosa,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Flyweight,Joseph Morales,Alibi Idiris,Draw,"SUB

      

        Triangle Choke",2,3:04,http://ufcstats.com/event-details/421ccfc6ddb17958
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Middleweight,Anthony Hernandez,Roman Dolidze,Draw,"SUB

      

        Rear Naked Choke",4,2:45,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Bantamweight,Steve Erceg,Ode Osbourne,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Women's Strawweight,Iasmin Lucindo,Angela Hill,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Featherweight,Andre Fili,Christian Rodriguez,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Bantamweight,Jean Matsumoto,Miles Johns,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Middleweight,Christian Leroy Duncan,Eryk Anders,Draw,"KO/TKO

      

        Punches",1,3:53,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Light Heavyweight,Julius Walker,Rafael Cerqueira,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Bantamweight,Elijah Smith,Toshiomi Kazama,Draw,"KO/TKO

      

        Slam",1,4:10,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Women's Bantamweight,Joselyne Edwards,Priscila Cachoeira,Draw,"KO/TKO

      

        Punch",1,2:24,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Welterweight,Uros Medic,Gilbert Urbina,Draw,"KO/TKO

      

        Punch",1,1:03,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Women's Flyweight,Gabriella Fernandes,Julija Stoliarenko,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Dolidze vs. Hernandez,"August 16, 2025",Light Heavyweight,Eric McConico,Cody Brundage,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/6cd3dfc54f01287f
UFC Fight Night: Taira vs. Park,"August 09, 2025",Flyweight,Tatsuro Taira,HyunSung Park,Draw,"SUB

      

        Neck Crank",2,1:06,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Lightweight,Chris Duncan,Mateusz Rebecki,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Lightweight,Esteban Ribovics,Elves Brener,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Women's Bantamweight,Karol Rosa,Nora Cornolle,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Welterweight,Neil Magny,Elizeu Zaleski dos Santos,Draw,"KO/TKO

      

        Punches",2,4:39,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Featherweight,Kevin Vallejos,Danny Silva,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Bantamweight,Rinya Nakamura,Nathan Fletcher,Draw,"KO/TKO

      

        Kick",1,1:02,http://ufcstats.com/event-details/f2c934689243fe4e
UFC Fight Night: Taira vs. Park,"August 09, 2025",Middleweight,Rodolfo Vieira,Tresean Gore,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f2c934689243fe4e
