Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,U-DEC,5,5:00,http://ufcstats.com/fight-details/7d3da3c4153717de,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Bantamweight,Umar Nurmagomedov,Mario Bautista,Umar Nurmagomedov,U-DEC,3,5:00,http://ufcstats.com/fight-details/e69f9b4b9cae12a4,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Alexander Volkov,Jailton Almeida,Alexander Volkov,S-DEC,3,5:00,http://ufcstats.com/fight-details/b42a3386a7dccb3d,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Light Heavyweight,Azamat Murzakanov,Aleksandar Rakic,Azamat Murzakanov,KO/TKOPunch,1,3:11,http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,http://ufcstats.com/event-details/7956f026e2672c47,KO
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Quillan Salkilld,Nasrat Haqparast,Quillan Salkilld,KO/TKOKick,1,2:30,http://ufcstats.com/fight-details/cb902d73389ed34b,http://ufcstats.com/event-details/7956f026e2672c47,KO
UFC 321: Aspinall vs. Gane,"November 01, 2025",Middleweight,Ikram Aliskerov,JunYong Park,Ikram Aliskerov,U-DEC,3,5:00,http://ufcstats.com/fight-details/0230a9dd2739add4,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Lightweight,Ludovit Klein,Mateusz Rebecki,Ludovit Klein,M-DEC,3,5:00,http://ufcstats.com/fight-details/e9c034cec33b3479,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Valter Walker,Louie Sutherland,Valter Walker,SUBHeel Hook,1,1:24,http://ufcstats.com/fight-details/f2c2a49fed32bd75,http://ufcstats.com/event-details/7956f026e2672c47,SUB
UFC 321: Aspinall vs. Gane,"November 01, 2025",Featherweight,Nathaniel Wood,Jose Delgado,Nathaniel Wood,U-DEC,3,5:00,http://ufcstats.com/fight-details/bd7394f07247d9ca,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Heavyweight,Hamdy Abdelwahab,Chris Barnett,Hamdy Abdelwahab,U-DEC,3,5:00,http://ufcstats.com/fight-details/3fdb4c4b39218cf4,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Flyweight,Mitch Raposo,Azat Maksum,Mitch Raposo,U-DEC,3,5:00,http://ufcstats.com/fight-details/22dd728012944f0a,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC 321: Aspinall vs. Gane,"November 01, 2025",Women's Strawweight,Mizuki,Jaqueline Amorim,Mizuki,U-DEC,3,5:00,http://ufcstats.com/fight-details/ef1519c8c1d20977,http://ufcstats.com/event-details/7956f026e2672c47,DEC
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Brendan Allen,Reinier de Ridder,Brendan Allen,KO/TKO,4,5:00,http://ufcstats.com/fight-details/d61373d9fdf01a12,http://ufcstats.com/event-details/38e5d9dcb0fddc42,KO
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Welterweight,Mike Malott,Kevin Holland,Mike Malott,U-DEC,3,5:00,http://ufcstats.com/fight-details/cdd565a16975c711,http://ufcstats.com/event-details/38e5d9dcb0fddc42,DEC
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Aiemann Zahabi,Marlon Vera,Aiemann Zahabi,S-DEC,3,5:00,http://ufcstats.com/fight-details/857d274e47aa8c4e,http://ufcstats.com/event-details/38e5d9dcb0fddc42,DEC
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Flyweight,Manon Fiorot,Jasmine Jasudavicius,Manon Fiorot,KO/TKOPunches,1,1:14,http://ufcstats.com/fight-details/c82acd7b17915591,http://ufcstats.com/event-details/38e5d9dcb0fddc42,KO
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Charles Jourdain,Davey Grant,Charles Jourdain,SUBGuillotine Choke,1,3:05,http://ufcstats.com/fight-details/a18edcb638ba7e39,http://ufcstats.com/event-details/38e5d9dcb0fddc42,SUB
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Lightweight,Kyle Nelson,Matt Frevola,Kyle Nelson,U-DEC,3,5:00,http://ufcstats.com/fight-details/3af1bdc5a510bba9,http://ufcstats.com/event-details/38e5d9dcb0fddc42,DEC
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Lightweight,Drew Dober,Kyle Prepolec,Drew Dober,KO/TKOPunches,3,1:16,http://ufcstats.com/fight-details/ecdbb3a5216b815e,http://ufcstats.com/event-details/38e5d9dcb0fddc42,KO
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Bantamweight,Aoriqileng,Cody Gibson,Aoriqileng,KO/TKOPunch,1,0:21,http://ufcstats.com/fight-details/970f083af8368f57,http://ufcstats.com/event-details/38e5d9dcb0fddc42,KO
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Flyweight,Bruno Silva,HyunSung Park,Bruno Silva,SUBRear Naked Choke,3,2:15,http://ufcstats.com/fight-details/668a44403a130043,http://ufcstats.com/event-details/38e5d9dcb0fddc42,SUB
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Djorden Santos,Danny Barlow,Djorden Santos,U-DEC,3,5:00,http://ufcstats.com/fight-details/096e00355c8c84ac,http://ufcstats.com/event-details/38e5d9dcb0fddc42,DEC
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Strawweight,Stephanie Luciano,Ravena Oliveira,Stephanie Luciano,SUBRear Naked Choke,3,2:50,http://ufcstats.com/fight-details/8d9458121f0c4b95,http://ufcstats.com/event-details/38e5d9dcb0fddc42,SUB
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Middleweight,Yousri Belgaroui,Azamat Bekoev,Yousri Belgaroui,KO/TKOPunches,3,0:55,http://ufcstats.com/fight-details/87ac0e5face106b4,http://ufcstats.com/event-details/38e5d9dcb0fddc42,KO
UFC Fight Night: De Ridder vs. Allen,"October 25, 2025",Women's Bantamweight,Melissa Croden,Tainara Lisboa,Melissa Croden,KO/TKOPunches,3,4:32,http://ufcstats.com/fight-details/dec301fd5e99ca46,http://ufcstats.com/event-details/38e5d9dcb0fddc42,KO
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Lightweight,Charles Oliveira,Mateusz Gamrot,Charles Oliveira,SUBRear Naked Choke,2,2:48,http://ufcstats.com/fight-details/79865287be90e4be,http://ufcstats.com/event-details/9336e86cfd4ceaa1,SUB
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Bantamweight,Deiveson Figueiredo,Montel Jackson,Deiveson Figueiredo,S-DEC,3,5:00,http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,http://ufcstats.com/event-details/9336e86cfd4ceaa1,DEC
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Welterweight,Joel Alvarez,Vicente Luque,Joel Alvarez,U-DEC,3,5:00,http://ufcstats.com/fight-details/6188b7fb3f8daacc,http://ufcstats.com/event-details/9336e86cfd4ceaa1,DEC
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Heavyweight,Mario Pinto,Jhonata Diniz,Mario Pinto,KO/TKOPunches,2,4:10,http://ufcstats.com/fight-details/03377f7bf8a2d5ff,http://ufcstats.com/event-details/9336e86cfd4ceaa1,KO
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Featherweight,Kaan Ofli,Ricardo Ramos,Kaan Ofli,SUBRear Naked Choke,1,3:02,http://ufcstats.com/fight-details/2aef1a91d26dde42,http://ufcstats.com/event-details/9336e86cfd4ceaa1,SUB
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Featherweight,Michael Aswell Jr.,Lucas Almeida,Michael Aswell Jr.,KO/TKOPunches,1,1:42,http://ufcstats.com/fight-details/cff0abc02974fb4a,http://ufcstats.com/event-details/9336e86cfd4ceaa1,KO
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Flyweight,Jafel Filho,Clayton Carpenter,Jafel Filho,SUBKimura,1,4:42,http://ufcstats.com/fight-details/766b0b26c40525de,http://ufcstats.com/event-details/9336e86cfd4ceaa1,SUB
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Heavyweight,Vitor Petrino,Thomas Petersen,Vitor Petrino,KO/TKOPunch,3,0:26,http://ufcstats.com/fight-details/a815dafc89adf33b,http://ufcstats.com/event-details/9336e86cfd4ceaa1,KO
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Women's Bantamweight,Bia Mesquita,Irina Alekseeva,Bia Mesquita,SUBRear Naked Choke,2,2:14,http://ufcstats.com/fight-details/546f971f9d8e0a33,http://ufcstats.com/event-details/9336e86cfd4ceaa1,SUB
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Flyweight,Lucas Rocha,Stewart Nicoll,Lucas Rocha,U-DEC,3,5:00,http://ufcstats.com/fight-details/434abaea90ccd299,http://ufcstats.com/event-details/9336e86cfd4ceaa1,DEC
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Women's Strawweight,Julia Polastri,Karolina Kowalkiewicz,Julia Polastri,KO/TKOPunches,3,2:56,http://ufcstats.com/fight-details/c547b3e95bcc5f24,http://ufcstats.com/event-details/9336e86cfd4ceaa1,KO
UFC Fight Night: Oliveira vs. Gamrot,"October 18, 2025",Bantamweight,Luan Lacerda,Saimon Oliveira,Luan Lacerda,SUBArmbar,2,3:55,http://ufcstats.com/fight-details/0f9e7d0d04e24b74,http://ufcstats.com/event-details/9336e86cfd4ceaa1,SUB
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Light Heavyweight,Alex Pereira,Magomed Ankalaev,Alex Pereira,KO/TKOElbows,1,1:20,http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,KO
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Bantamweight,Merab Dvalishvili,Cory Sandhagen,Merab Dvalishvili,U-DEC,5,5:00,http://ufcstats.com/fight-details/a8511df8285f5c91,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,DEC
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Light Heavyweight,Jiri Prochazka,Khalil Rountree Jr.,Jiri Prochazka,KO/TKOPunches,3,3:04,http://ufcstats.com/fight-details/2560ea97b2cce4ef,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,KO
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Featherweight,Youssef Zalal,Josh Emmett,Youssef Zalal,SUBArmbar,1,1:38,http://ufcstats.com/fight-details/84ebd144d5e79c88,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,SUB
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Middleweight,Joe Pyfer,Abus Magomedov,Joe Pyfer,SUBRear Naked Choke,2,1:46,http://ufcstats.com/fight-details/d006dd2513bd376d,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,SUB
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Middleweight,Ateba Gautier,Tre'ston Vines,Ateba Gautier,KO/TKOPunches,1,1:41,http://ufcstats.com/fight-details/9418ebb3db2a4bae,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,KO
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Catch Weight,Daniel Santos,JooSang Yoo,Daniel Santos,KO/TKOPunch,2,0:21,http://ufcstats.com/fight-details/7b34aa1eb09b8301,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,KO
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Bantamweight,Jakub Wiklacz,Patchy Mix,Jakub Wiklacz,S-DEC,3,5:00,http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,DEC
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Middleweight,Edmen Shahbazyan,Andre Muniz,Edmen Shahbazyan,KO/TKOElbows,1,4:58,http://ufcstats.com/fight-details/1c7cc3a22ab7d907,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,KO
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Welterweight,Punahele Soriano,Nikolay Veretennikov,Punahele Soriano,U-DEC,3,5:00,http://ufcstats.com/fight-details/a951090fb402fd20,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,DEC
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Women's Bantamweight,Yana Santos,Macy Chiasson,Yana Santos,U-DEC,3,5:00,http://ufcstats.com/fight-details/8353b491afa7bc32,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,DEC
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Bantamweight,Farid Basharat,Chris Gutierrez,Farid Basharat,U-DEC,3,5:00,http://ufcstats.com/fight-details/e53fd165a3bc1f8e,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,DEC
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Welterweight,Ramiz Brahimaj,Austin Vanderford,Ramiz Brahimaj,SUBGuillotine Choke,2,2:24,http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,SUB
UFC 320: Ankalaev vs. Pereira 2,"October 11, 2025",Women's Flyweight,Veronica Hardy,Brogan Walker,Veronica Hardy,U-DEC,3,5:00,http://ufcstats.com/fight-details/98883348ddb3be33,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,DEC
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Light Heavyweight,Carlos Ulberg,Dominick Reyes,Carlos Ulberg,KO/TKOPunches,1,4:27,http://ufcstats.com/fight-details/a3ee907c77544cde,http://ufcstats.com/event-details/ed220e87bef0cc64,KO
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Light Heavyweight,Jimmy Crute,Ivan Erslan,Jimmy Crute,SUBRear Naked Choke,1,3:19,http://ufcstats.com/fight-details/f5fb8b182020c59d,http://ufcstats.com/event-details/ed220e87bef0cc64,SUB
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Featherweight,Jack Jenkins,Ramon Taveras,Jack Jenkins,U-DEC,3,5:00,http://ufcstats.com/fight-details/38248c5d13f273e6,http://ufcstats.com/event-details/ed220e87bef0cc64,DEC
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Welterweight,Neil Magny,Jake Matthews,Neil Magny,SUBD'Arce Choke,3,3:08,http://ufcstats.com/fight-details/1ff24d5f760e0491,http://ufcstats.com/event-details/ed220e87bef0cc64,SUB
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Lightweight,Tom Nolan,Charlie Campbell,Tom Nolan,SUBRear Naked Choke,1,4:08,http://ufcstats.com/fight-details/8abad36b4c5e4070,http://ufcstats.com/event-details/ed220e87bef0cc64,SUB
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Light Heavyweight,Navajo Stirling,Rodolfo Bellato,Navajo Stirling,U-DEC,3,5:00,http://ufcstats.com/fight-details/dc31d3260dea7dcf,http://ufcstats.com/event-details/ed220e87bef0cc64,DEC
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Middleweight,Cam Rowston,Andre Petroski,Cam Rowston,KO/TKOPunches,1,2:41,http://ufcstats.com/fight-details/93a0a19c2c1cfe66,http://ufcstats.com/event-details/ed220e87bef0cc64,KO
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Lightweight,Jamie Mullarkey,Rolando Bedoya,Jamie Mullarkey,U-DEC,3,5:00,http://ufcstats.com/fight-details/e2dc4fb7b5c0ce76,http://ufcstats.com/event-details/ed220e87bef0cc64,DEC
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Bantamweight,Colby Thicknesse,Josias Musasa,Colby Thicknesse,U-DEC,3,5:00,http://ufcstats.com/fight-details/81127436605d3c88,http://ufcstats.com/event-details/ed220e87bef0cc64,DEC
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Women's Bantamweight,Michelle Montague,Luana Carolina,Michelle Montague,U-DEC,3,5:00,http://ufcstats.com/fight-details/44cd8c9f622e155f,http://ufcstats.com/event-details/ed220e87bef0cc64,DEC
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Heavyweight,Brando Pericic,Elisha Ellison,Brando Pericic,KO/TKOPunches,1,1:55,http://ufcstats.com/fight-details/140937779a2466a7,http://ufcstats.com/event-details/ed220e87bef0cc64,KO
UFC Fight Night: Ulberg vs. Reyes,"October 04, 2025",Women's Strawweight,Alexia Thainara,Loma Lookboonmee,Alexia Thainara,U-DEC,3,5:00,http://ufcstats.com/fight-details/e35f7504d83b8b07,http://ufcstats.com/event-details/ed220e87bef0cc64,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Featherweight,Diego Lopes,Jean Silva,Diego Lopes,KO/TKOPunches,2,4:48,http://ufcstats.com/fight-details/de1a3734be60e6a1,http://ufcstats.com/event-details/5efaaf313b652dd7,KO
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Bantamweight,David Martinez,Rob Font,David Martinez,U-DEC,3,5:00,http://ufcstats.com/fight-details/944b929130b23c2a,http://ufcstats.com/event-details/5efaaf313b652dd7,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Lightweight,Rafa Garcia,Jared Gordon,Rafa Garcia,KO/TKOElbows,3,2:27,http://ufcstats.com/fight-details/7cbfeba85f86d1bf,http://ufcstats.com/event-details/5efaaf313b652dd7,KO
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Middleweight,Kelvin Gastelum,Dustin Stoltzfus,Kelvin Gastelum,U-DEC,3,5:00,http://ufcstats.com/fight-details/114d2f6fcd3f6f00,http://ufcstats.com/event-details/5efaaf313b652dd7,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Lightweight,Alexander Hernandez,Diego Ferreira,Alexander Hernandez,KO/TKOPunches,2,3:46,http://ufcstats.com/fight-details/202c47db69768356,http://ufcstats.com/event-details/5efaaf313b652dd7,KO
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Bantamweight,Santiago Luna,Quang Le,Santiago Luna,KO/TKOPunch,1,2:48,http://ufcstats.com/fight-details/8a884a7930d75ca9,http://ufcstats.com/event-details/5efaaf313b652dd7,KO
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Middleweight,Dusko Todorovic,Jose Daniel Medina,Dusko Todorovic,SUBRear Naked Choke,1,4:21,http://ufcstats.com/fight-details/07a378b257aad5a9,http://ufcstats.com/event-details/5efaaf313b652dd7,SUB
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Lightweight,Joaquim Silva,Claudio Puelles,Joaquim Silva,S-DEC,3,5:00,http://ufcstats.com/fight-details/352839a03b428e74,http://ufcstats.com/event-details/5efaaf313b652dd7,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Women's Strawweight,Tatiana Suarez,Amanda Lemos,Tatiana Suarez,U-DEC,3,5:00,http://ufcstats.com/fight-details/9474f64347aade7a,http://ufcstats.com/event-details/5efaaf313b652dd7,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Flyweight,Jesus Aguilar,Luis Gurule,Jesus Aguilar,U-DEC,3,5:00,http://ufcstats.com/fight-details/3dc1a6335d890650,http://ufcstats.com/event-details/5efaaf313b652dd7,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Flyweight,Alden Coria,Alessandro Costa,Alden Coria,KO/TKOPunches,3,0:47,http://ufcstats.com/fight-details/a1e193425e716b42,http://ufcstats.com/event-details/5efaaf313b652dd7,KO
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Women's Bantamweight,Montse Rendon,Alice Pereira,Montse Rendon,S-DEC,3,5:00,http://ufcstats.com/fight-details/c4a6174b0698652e,http://ufcstats.com/event-details/5efaaf313b652dd7,DEC
UFC Fight Night: Lopes vs. Silva,"September 27, 2025",Welterweight,Daniil Donchenko,Rodrigo Sezinando,Daniil Donchenko,KO/TKOPunches,1,4:27,http://ufcstats.com/fight-details/3dd2fde7bff79c51,http://ufcstats.com/event-details/5efaaf313b652dd7,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Middleweight,Nassourdine Imavov,Caio Borralho,Nassourdine Imavov,U-DEC,5,5:00,http://ufcstats.com/fight-details/5bcd8abf6da01dae,http://ufcstats.com/event-details/6e380a4d73ab4f0e,DEC
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Lightweight,Benoit Saint Denis,Mauricio Ruffy,Benoit Saint Denis,SUBRear Naked Choke,2,2:56,http://ufcstats.com/fight-details/d14fea43712707f0,http://ufcstats.com/event-details/6e380a4d73ab4f0e,SUB
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Light Heavyweight,Modestas Bukauskas,Paul Craig,Modestas Bukauskas,KO/TKOElbow,1,5:00,http://ufcstats.com/fight-details/0149e875b31e57f8,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Lightweight,Mason Jones,Bolaji Oki,Mason Jones,KO/TKOElbows,2,3:18,http://ufcstats.com/fight-details/69b31593175f77ec,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Welterweight,Axel Sola,Rhys McKee,Axel Sola,KO/TKOPunch,3,2:02,http://ufcstats.com/fight-details/a47123ae6e048f11,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Featherweight,William Gomis,Robert Ruchala,William Gomis,U-DEC,3,5:00,http://ufcstats.com/fight-details/b53031bf4bd0a330,http://ufcstats.com/event-details/6e380a4d73ab4f0e,DEC
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Light Heavyweight,Oumar Sy,Brendson Ribeiro,Oumar Sy,KO/TKOPunches,1,4:42,http://ufcstats.com/fight-details/4080b4310d82b42d,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Heavyweight,Ante Delija,Marcin Tybura,Ante Delija,KO/TKOPunches,1,2:03,http://ufcstats.com/fight-details/23dbe713c4294c66,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Lightweight,Kaue Fernandes,Harry Hardwick,Kaue Fernandes,KO/TKOKick,1,3:21,http://ufcstats.com/fight-details/5cd2dd6075fadcce,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Welterweight,Sam Patterson,Trey Waters,Sam Patterson,KO/TKOPunches,1,3:01,http://ufcstats.com/fight-details/420211200a35c1d1,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Middleweight,Robert Bryczek,Brad Tavares,Robert Bryczek,KO/TKOPunches,3,1:43,http://ufcstats.com/fight-details/b3253e2c2d111030,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Welterweight,Rinat Fakhretdinov,Andreas Gustafsson,Rinat Fakhretdinov,KO/TKOPunches,1,0:54,http://ufcstats.com/fight-details/d56a59a4c79cf515,http://ufcstats.com/event-details/6e380a4d73ab4f0e,KO
UFC Fight Night: Imavov vs. Borralho,"September 13, 2025",Women's Strawweight,Sam Hughes,Shauna Bannon,Sam Hughes,SUBRear Naked Choke,2,1:58,http://ufcstats.com/fight-details/a38010639e61885c,http://ufcstats.com/event-details/6e380a4d73ab4f0e,SUB
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Light Heavyweight,Johnny Walker,Zhang Mingyang,Johnny Walker,KO/TKOPunches,2,2:37,http://ufcstats.com/fight-details/2eecf0c36192e40c,http://ufcstats.com/event-details/754968e325d6f60d,KO
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Catch Weight,Aljamain Sterling,Brian Ortega,Aljamain Sterling,U-DEC,5,5:00,http://ufcstats.com/fight-details/58080e8989927500,http://ufcstats.com/event-details/754968e325d6f60d,DEC
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Heavyweight,Sergei Pavlovich,Waldo Cortes-Acosta,Sergei Pavlovich,U-DEC,3,5:00,http://ufcstats.com/fight-details/5538d15c4eeac3b3,http://ufcstats.com/event-details/754968e325d6f60d,DEC
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Flyweight,Sumudaerji,Kevin Borjas,Sumudaerji,U-DEC,3,5:00,http://ufcstats.com/fight-details/ce6bd165bef82bd7,http://ufcstats.com/event-details/754968e325d6f60d,DEC
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Welterweight,Taiyilake Nueraji,Kiefer Crosbie,Taiyilake Nueraji,KO/TKOElbows,1,3:33,http://ufcstats.com/fight-details/1452c20d964c0a63,http://ufcstats.com/event-details/754968e325d6f60d,KO
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Lightweight,Gauge Young,Maheshate,Gauge Young,U-DEC,3,5:00,http://ufcstats.com/fight-details/0b1460c666e66d39,http://ufcstats.com/event-details/754968e325d6f60d,DEC
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Flyweight,Charles Johnson,Lone'er Kavanagh,Charles Johnson,KO/TKOPunch,2,4:35,http://ufcstats.com/fight-details/1ab1ed99a4bc5494,http://ufcstats.com/event-details/754968e325d6f60d,KO
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Lightweight,Rongzhu,Austin Hubbard,Rongzhu,U-DEC,3,5:00,http://ufcstats.com/fight-details/f55749e32ce5c6f3,http://ufcstats.com/event-details/754968e325d6f60d,DEC
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Middleweight,Kyle Daukaus,Michel Pereira,Kyle Daukaus,KO/TKOElbows,1,0:43,http://ufcstats.com/fight-details/130e622d4d2aee3e,http://ufcstats.com/event-details/754968e325d6f60d,KO
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Featherweight,Yizha,Westin Wilson,Yizha,KO/TKOPunches,1,0:37,http://ufcstats.com/fight-details/f0b7caa90faf47e5,http://ufcstats.com/event-details/754968e325d6f60d,KO
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Bantamweight,SuYoung You,Xiao Long,SuYoung You,U-DEC,3,5:00,http://ufcstats.com/fight-details/2f6065fe0804d1d8,http://ufcstats.com/event-details/754968e325d6f60d,DEC
UFC Fight Night: Walker vs. Zhang,"September 06, 2025",Light Heavyweight,Uran Satybaldiev,Diyar Nurgozhay,Uran Satybaldiev,SUBEzekiel Choke,1,2:45,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,http://ufcstats.com/event-details/754968e325d6f60d,SUB
UFC 319: Du Plessis vs. Chimaev,"August 23, 2025",Middleweight,Khamzat Chimaev,Dricus Du Plessis,Khamzat Chimaev,U-DEC,5,5:00,http://ufcstats.com/fight-details/12cedec11b37ddc0,http://ufcstats.com/event-details/421ccfc6ddb17958,DEC
