Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Event URL,Fight URL,method,Is_Title_Fight,Is_Main_Event
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Welterweight,Islam Makhachev,Jack Della Maddalena,Islam Makhachev,U-DEC,5,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/856f6ee049373843,DEC,True,True
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Women's Flyweight,Valentina Shevchenko,Zhang Weili,Valentina Shevchenko,U-DEC,5,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/7606f6b6c19f2d73,DEC,True,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Welterweight,Michael Morales,Sean Brady,Michael Morales,KO/TKOPunches,1,3:27,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/477af74ea3cbba8b,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Welterweight,Carlos Prates,Leon Edwards,Carlos Prates,KO/TKOPunch,2,1:28,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/3c60884853766487,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Lightweight,Benoit Saint Denis,Beneil Dariush,Benoit Saint Denis,KO/TKOPunch,1,0:16,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/9b5f190cd3f5ce16,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Bo Nickal,Rodolfo Vieira,Bo Nickal,KO/TKOKick,3,2:24,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/292b83afa418635f,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Gregory Rodrigues,Roman Kopylov,Gregory Rodrigues,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/ebb012c5f3fd0cbb,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Women's Flyweight,Erin Blanchfield,Tracy Cortez,Erin Blanchfield,SUBRear Naked Choke,2,4:44,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/909cd8633507a0c8,SUB,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Featherweight,Ethyn Ewing,Malcolm Wellmaker,Ethyn Ewing,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/e313286b307334a7,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Kyle Daukaus,Gerald Meerschaert,Kyle Daukaus,SUBD'Arce Choke,1,0:50,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/9bbdc2a2ab334541,SUB,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Featherweight,Pat Sabatini,Chepe Mariscal,Pat Sabatini,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/e3cbd663732f4a98,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Women's Strawweight,Fatima Kline,Angela Hill,Fatima Kline,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/6c2c6a6e3f4d04db,DEC,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Middleweight,Baisangur Susurkaev,Eric McConico,Baisangur Susurkaev,KO/TKOPunch,3,1:38,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/c037cf1f7b429d5e,KO,False,False
UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025",Lightweight,Matheus Camilo,Viacheslav Borshchev,Matheus Camilo,U-DEC,3,5:00,http://ufcstats.com/event-details/8db1b36dde268ef6,http://ufcstats.com/fight-details/1a5378e32e8519ef,DEC,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Welterweight,Gabriel Bonfim,Randy Brown,Gabriel Bonfim,KO/TKOKnee,2,1:40,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/4e224ebb6394611d,KO,False,True
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Flyweight,Joseph Morales,Matt Schnell,Joseph Morales,SUBGuillotine Choke,1,2:54,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/f7e9bd2d6f81aeae,SUB,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Welterweight,Uros Medic,Muslim Salikhov,Uros Medic,KO/TKOPunch,1,1:03,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/b23fa678cc65cf5b,KO,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Lightweight,Chris Padilla,Ismael Bonfim,Chris Padilla,KO/TKOPunches,2,4:30,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/20971ed9a842b0cb,KO,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Middleweight,Christian Leroy Duncan,Marco Tulio,Christian Leroy Duncan,KO/TKOPunch,2,3:20,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/ac4343150638b635,KO,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Featherweight,Jamall Emmers,Hyder Amil,Jamall Emmers,U-DEC,3,5:00,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/e3d657dd88864ba7,DEC,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Bantamweight,Raoni Barcelos,Ricky Simon,Raoni Barcelos,U-DEC,3,5:00,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/c6d56aad93f98249,DEC,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Women's Bantamweight,Jacqueline Cavalcanti,Mayra Bueno Silva,Jacqueline Cavalcanti,U-DEC,3,5:00,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/80eae31bc0a94a65,DEC,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Heavyweight,Josh Hokit,Max Gimenis,Josh Hokit,KO/TKOPunches,1,0:56,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/87dcb3eab20f6ac1,KO,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Women's Strawweight,Denise Gomes,Tecia Pennington,Denise Gomes,U-DEC,3,5:00,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/9126633d921afb57,DEC,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Bantamweight,Daniel Marcos,Miles Johns,Daniel Marcos,SUBRear Naked Choke,2,4:23,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/238c274c90587e21,SUB,False,False
UFC Fight Night: Bonfim vs. Brown,"November 08, 2025",Catch Weight,Zach Reese,Jackson McVey,Zach Reese,SUBRear Naked Choke,2,1:38,http://ufcstats.com/event-details/6436029b50a9c255,http://ufcstats.com/fight-details/84b66bf7fba2d59d,SUB,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Featherweight,Steve Garcia,David Onama,Steve Garcia,KO/TKOPunches,1,3:34,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/747d922b329b7f30,KO,False,True
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Heavyweight,Waldo Cortes Acosta,Ante Delija,Waldo Cortes Acosta,KO/TKOPunch,1,3:59,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/9d9390b550d77e06,KO,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Welterweight,Jeremiah Wells,Themba Gorimbo,Jeremiah Wells,U-DEC,3,5:00,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/b0f68344e01884ff,DEC,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Featherweight,Yadier del Valle,Isaac Dulgarian,Yadier del Valle,SUBRear Naked Choke,1,3:41,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/767b78b67c7da17c,SUB,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Welterweight,Charles Radtke,Daniel Frunza,Charles Radtke,SUBRear Naked Choke,3,4:29,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/71c8ca7442bcb757,SUB,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Catch Weight,Allan Nascimento,Cody Durden,Allan Nascimento,SUBAnaconda Choke,2,3:13,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/f41c2c82d5117230,SUB,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Light Heavyweight,Billy Elekana,Kevin Christian,Billy Elekana,SUBRear Naked Choke,1,3:33,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/f063bcccbbb9edc5,SUB,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Bantamweight,Timmy Cuamba,ChangHo Lee,Timmy Cuamba,U-DEC,3,5:00,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/58f6248da3cdf3ce,DEC,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Middleweight,Donte Johnson,Sedriques Dumas,Donte Johnson,SUBGuillotine Choke,2,1:25,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/c245be6698c1e378,SUB,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Women's Bantamweight,Norma Dumont,Ketlen Vieira,Norma Dumont,S-DEC,3,5:00,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/760150e9951e65fa,DEC,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Women's Strawweight,Alice Ardelean,Montserrat Conejo Ruiz,Alice Ardelean,U-DEC,3,5:00,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/32927d50acedb507,DEC,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Welterweight,Seokhyeon Ko,Phil Rowe,Seokhyeon Ko,U-DEC,3,5:00,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/e6031b5937294176,DEC,False,False
UFC Fight Night: Garcia vs. Onama,"November 01, 2025",Women's Strawweight,Talita Alencar,Ariane Carnelossi,Talita Alencar,SUBRear Naked Choke,3,4:36,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,http://ufcstats.com/fight-details/7add5901fac6ab82,SUB,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Heavyweight,Tom Aspinall,Ciryl Gane,Draw,CNC,1,4:35,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/6390c8e74630473e,DEC,True,True
UFC 321: Aspinall vs. Gane,"October 25, 2025",Women's Strawweight,Mackenzie Dern,Virna Jandiroba,Mackenzie Dern,U-DEC,5,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/7d3da3c4153717de,DEC,True,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Bantamweight,Umar Nurmagomedov,Mario Bautista,Umar Nurmagomedov,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/e69f9b4b9cae12a4,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Heavyweight,Alexander Volkov,Jailton Almeida,Alexander Volkov,S-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/b42a3386a7dccb3d,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Light Heavyweight,Azamat Murzakanov,Aleksandar Rakic,Azamat Murzakanov,KO/TKOPunch,1,3:11,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/ef12d2aaaadaf6d0,KO,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Lightweight,Quillan Salkilld,Nasrat Haqparast,Quillan Salkilld,KO/TKOKick,1,2:30,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/cb902d73389ed34b,KO,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Middleweight,Ikram Aliskerov,JunYong Park,Ikram Aliskerov,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/0230a9dd2739add4,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Lightweight,Ludovit Klein,Mateusz Rebecki,Ludovit Klein,M-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/e9c034cec33b3479,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Heavyweight,Valter Walker,Louie Sutherland,Valter Walker,SUBHeel Hook,1,1:24,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/f2c2a49fed32bd75,SUB,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Featherweight,Nathaniel Wood,Jose Delgado,Nathaniel Wood,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/bd7394f07247d9ca,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Heavyweight,Hamdy Abdelwahab,Chris Barnett,Hamdy Abdelwahab,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/3fdb4c4b39218cf4,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Flyweight,Mitch Raposo,Azat Maksum,Mitch Raposo,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/22dd728012944f0a,DEC,False,False
UFC 321: Aspinall vs. Gane,"October 25, 2025",Women's Strawweight,Mizuki,Jaqueline Amorim,Mizuki,U-DEC,3,5:00,http://ufcstats.com/event-details/7956f026e2672c47,http://ufcstats.com/fight-details/ef1519c8c1d20977,DEC,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Middleweight,Brendan Allen,Reinier de Ridder,Brendan Allen,KO/TKO,4,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/d61373d9fdf01a12,KO,False,True
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Welterweight,Mike Malott,Kevin Holland,Mike Malott,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/cdd565a16975c711,DEC,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Bantamweight,Aiemann Zahabi,Marlon Vera,Aiemann Zahabi,S-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/857d274e47aa8c4e,DEC,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Women's Flyweight,Manon Fiorot,Jasmine Jasudavicius,Manon Fiorot,KO/TKOPunches,1,1:14,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/c82acd7b17915591,KO,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Bantamweight,Charles Jourdain,Davey Grant,Charles Jourdain,SUBGuillotine Choke,1,3:05,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/a18edcb638ba7e39,SUB,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Lightweight,Kyle Nelson,Matt Frevola,Kyle Nelson,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/3af1bdc5a510bba9,DEC,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Lightweight,Drew Dober,Kyle Prepolec,Drew Dober,KO/TKOPunches,3,1:16,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/ecdbb3a5216b815e,KO,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Bantamweight,Aoriqileng,Cody Gibson,Aoriqileng,KO/TKOPunch,1,0:21,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/970f083af8368f57,KO,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Flyweight,Bruno Silva,HyunSung Park,Bruno Silva,SUBRear Naked Choke,3,2:15,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/668a44403a130043,SUB,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Middleweight,Djorden Santos,Danny Barlow,Djorden Santos,U-DEC,3,5:00,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/096e00355c8c84ac,DEC,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Women's Strawweight,Stephanie Luciano,Ravena Oliveira,Stephanie Luciano,SUBRear Naked Choke,3,2:50,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/8d9458121f0c4b95,SUB,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Middleweight,Yousri Belgaroui,Azamat Bekoev,Yousri Belgaroui,KO/TKOPunches,3,0:55,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/87ac0e5face106b4,KO,False,False
UFC Fight Night: De Ridder vs. Allen,"October 18, 2025",Women's Bantamweight,Melissa Croden,Tainara Lisboa,Melissa Croden,KO/TKOPunches,3,4:32,http://ufcstats.com/event-details/38e5d9dcb0fddc42,http://ufcstats.com/fight-details/dec301fd5e99ca46,KO,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Lightweight,Charles Oliveira,Mateusz Gamrot,Charles Oliveira,SUBRear Naked Choke,2,2:48,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/79865287be90e4be,SUB,False,True
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Bantamweight,Deiveson Figueiredo,Montel Jackson,Deiveson Figueiredo,S-DEC,3,5:00,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/f295eb2a7b0ba4b7,DEC,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Welterweight,Joel Alvarez,Vicente Luque,Joel Alvarez,U-DEC,3,5:00,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/6188b7fb3f8daacc,DEC,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Heavyweight,Mario Pinto,Jhonata Diniz,Mario Pinto,KO/TKOPunches,2,4:10,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/03377f7bf8a2d5ff,KO,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Featherweight,Kaan Ofli,Ricardo Ramos,Kaan Ofli,SUBRear Naked Choke,1,3:02,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/2aef1a91d26dde42,SUB,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Featherweight,Michael Aswell Jr.,Lucas Almeida,Michael Aswell Jr.,KO/TKOPunches,1,1:42,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/cff0abc02974fb4a,KO,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Flyweight,Jafel Filho,Clayton Carpenter,Jafel Filho,SUBKimura,1,4:42,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/766b0b26c40525de,SUB,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Heavyweight,Vitor Petrino,Thomas Petersen,Vitor Petrino,KO/TKOPunch,3,0:26,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/a815dafc89adf33b,KO,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Women's Bantamweight,Bia Mesquita,Irina Alekseeva,Bia Mesquita,SUBRear Naked Choke,2,2:14,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/546f971f9d8e0a33,SUB,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Flyweight,Lucas Rocha,Stewart Nicoll,Lucas Rocha,U-DEC,3,5:00,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/434abaea90ccd299,DEC,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Women's Strawweight,Julia Polastri,Karolina Kowalkiewicz,Julia Polastri,KO/TKOPunches,3,2:56,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/c547b3e95bcc5f24,KO,False,False
UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025",Bantamweight,Luan Lacerda,Saimon Oliveira,Luan Lacerda,SUBArmbar,2,3:55,http://ufcstats.com/event-details/9336e86cfd4ceaa1,http://ufcstats.com/fight-details/0f9e7d0d04e24b74,SUB,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Light Heavyweight,Alex Pereira,Magomed Ankalaev,Alex Pereira,KO/TKOElbows,1,1:20,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/0de1ef0b9f3a79c0,KO,True,True
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Bantamweight,Merab Dvalishvili,Cory Sandhagen,Merab Dvalishvili,U-DEC,5,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/a8511df8285f5c91,DEC,True,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Light Heavyweight,Jiri Prochazka,Khalil Rountree Jr.,Jiri Prochazka,KO/TKOPunches,3,3:04,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/2560ea97b2cce4ef,KO,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Featherweight,Youssef Zalal,Josh Emmett,Youssef Zalal,SUBArmbar,1,1:38,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/84ebd144d5e79c88,SUB,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Middleweight,Joe Pyfer,Abus Magomedov,Joe Pyfer,SUBRear Naked Choke,2,1:46,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/d006dd2513bd376d,SUB,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Middleweight,Ateba Gautier,Tre'ston Vines,Ateba Gautier,KO/TKOPunches,1,1:41,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/9418ebb3db2a4bae,KO,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Catch Weight,Daniel Santos,JooSang Yoo,Daniel Santos,KO/TKOPunch,2,0:21,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/7b34aa1eb09b8301,KO,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Bantamweight,Jakub Wiklacz,Patchy Mix,Jakub Wiklacz,S-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/b09ecdc8ef0f0d20,DEC,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Middleweight,Edmen Shahbazyan,Andre Muniz,Edmen Shahbazyan,KO/TKOElbows,1,4:58,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/1c7cc3a22ab7d907,KO,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Welterweight,Punahele Soriano,Nikolay Veretennikov,Punahele Soriano,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/a951090fb402fd20,DEC,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Women's Bantamweight,Yana Santos,Macy Chiasson,Yana Santos,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/8353b491afa7bc32,DEC,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Bantamweight,Farid Basharat,Chris Gutierrez,Farid Basharat,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/e53fd165a3bc1f8e,DEC,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Welterweight,Ramiz Brahimaj,Austin Vanderford,Ramiz Brahimaj,SUBGuillotine Choke,2,2:24,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/b98bc1ecb94ef4a5,SUB,False,False
UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025",Women's Flyweight,Veronica Hardy,Brogan Walker,Veronica Hardy,U-DEC,3,5:00,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,http://ufcstats.com/fight-details/98883348ddb3be33,DEC,False,False
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Light Heavyweight,Carlos Ulberg,Dominick Reyes,Carlos Ulberg,KO/TKOPunches,1,4:27,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/a3ee907c77544cde,KO,False,True
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Light Heavyweight,Jimmy Crute,Ivan Erslan,Jimmy Crute,SUBRear Naked Choke,1,3:19,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/f5fb8b182020c59d,SUB,False,False
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Featherweight,Jack Jenkins,Ramon Taveras,Jack Jenkins,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/38248c5d13f273e6,DEC,False,False
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Welterweight,Neil Magny,Jake Matthews,Neil Magny,SUBD'Arce Choke,3,3:08,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/1ff24d5f760e0491,SUB,False,False
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Lightweight,Tom Nolan,Charlie Campbell,Tom Nolan,SUBRear Naked Choke,1,4:08,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/8abad36b4c5e4070,SUB,False,False
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Light Heavyweight,Navajo Stirling,Rodolfo Bellato,Navajo Stirling,U-DEC,3,5:00,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/dc31d3260dea7dcf,DEC,False,False
UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025",Middleweight,Cam Rowston,Andre Petroski,Cam Rowston,KO/TKOPunches,1,2:41,http://ufcstats.com/event-details/ed220e87bef0cc64,http://ufcstats.com/fight-details/93a0a19c2c1cfe66,KO,False,False
