Fighter,Elo,Last_Fight,Weight Class,Is_Champion,Title_Defenses,Is_Former_Champion,Status,Record
Michael Johnson,1036.4978731295005,2025-07-19,Lightweight,False,0,False,,16-15-0
Michal Oleksiejczuk,1036.3447777569772,2025-08-16,Middleweight,False,0,False,,9-7-1
Joseph Morales,1036.3339518660162,2025-11-08,Flyweight,False,0,False,,3-2-0
Piera Rodriguez,1036.270939517045,2025-08-02,Women's Strawweight,False,0,False,,4-2-0
Miranda Maverick,1036.2604681501477,2025-06-14,Women's Flyweight,False,0,False,,8-4-0
Chris Curtis,1036.178428831009,2025-07-12,Welterweight,False,0,False,,6-4-1
Andre Fili,1036.1491508511933,2025-08-09,Featherweight,False,0,False,,13-11-1
Tim Elliott,1035.5553990049746,2025-08-16,Flyweight,False,0,False,,10-11-0
Ignacio Bahamondes,1035.3036522392708,2025-06-21,Lightweight,False,0,False,,6-3-0
Punahele Soriano,1035.1287985232984,2025-10-04,Welterweight,False,0,False,,6-4-0
Eduarda Moura,1035.0321361527817,2025-07-12,Women's Flyweight,False,0,False,,3-1-0
Marvin Vettori,1034.8502314223133,2025-07-19,Middleweight,False,0,False,,9-7-1
Jesus Aguilar,1034.6623945440397,2025-09-13,Flyweight,False,0,False,,4-2-0
Elijah Smith,1034.451099794131,2025-08-09,Bantamweight,False,0,False,,2-0-0
Davey Grant,1034.0016592143752,2025-10-18,Bantamweight,False,0,False,,8-7-0
Joaquim Silva,1033.9857794141174,2025-09-13,Lightweight,False,0,False,,7-5-0
Zhang Mingyang,1033.980801429328,2025-08-23,Light Heavyweight,False,0,False,,3-1-0
Brad Tavares,1033.8661510707043,2025-09-06,Middleweight,False,0,False,,16-11-0
Macy Chiasson,1033.7239925642054,2025-10-04,Women's Bantamweight,False,0,False,,8-5-0
Charles Radtke,1033.5974566035775,2025-11-01,Welterweight,False,0,False,,4-2-0
Rodolfo Vieira,1031.8501915893391,2025-11-15,Middleweight,False,0,False,,6-4-0
Roman Kopylov,1031.3960947508924,2025-11-15,Middleweight,False,0,False,,6-5-0
Aleksandar Rakic,1031.141982012607,2025-10-25,Light Heavyweight,False,0,False,,6-5-0
Andre Muniz,1030.541754766855,2025-10-04,Middleweight,False,0,False,,6-4-0
Paddy Pimblett,1029.7717078481694,2025-04-12,Lightweight,False,0,False,,7-0-0
Jamall Emmers,1029.0936247744617,2025-11-08,Featherweight,False,0,False,,5-4-0
Da'Mon Blackshear,1027.305433985157,2025-07-26,Bantamweight,False,0,False,,5-4-1
Jack Jenkins,1027.1098423743974,2025-09-27,Featherweight,False,0,False,,4-2-0
Jose Delgado,1026.103537520133,2025-10-25,Featherweight,False,0,False,,2-1-0
Cam Rowston,1025.999172296387,2025-09-27,Middleweight,False,0,False,,1-0-0
Gillian Robertson,1025.836242281364,2025-05-03,Women's Strawweight,False,0,False,,13-6-0
Jafel Filho,1025.8319721915227,2025-10-11,Flyweight,False,0,False,,3-2-0
Yousri Belgaroui,1025.4791872176515,2025-10-18,Middleweight,False,0,False,,1-0-0
Zach Reese,1025.2218595679121,2025-11-08,Catch Weight,False,0,False,,4-2-1
Morgan Charriere,1024.485222813133,2025-07-12,Featherweight,False,0,False,,3-2-0
Kennedy Nzechukwu,1024.2344038127171,2025-07-12,Heavyweight,False,0,False,,8-6-0
Terrance McKinney,1023.6332338240437,2025-06-28,Lightweight,False,0,False,,7-4-0
Melissa Croden,1023.402525721388,2025-10-18,Women's Bantamweight,False,0,False,,1-0-0
Gabriella Fernandes,1023.0942123105017,2025-08-09,Women's Flyweight,False,0,False,,3-2-0
Michelle Montague,1022.9503359384735,2025-09-27,Women's Bantamweight,False,0,False,,1-0-0
Billy Elekana,1022.7881265325332,2025-11-01,Light Heavyweight,False,0,False,,2-1-0
Ethyn Ewing,1022.7558956340757,2025-11-15,Featherweight,False,0,False,,1-0-0
Alden Coria,1022.5635645994732,2025-09-13,Flyweight,False,0,False,,1-0-0
Nora Cornolle,1021.691917805927,2025-08-02,Women's Bantamweight,False,0,False,,3-2-0
Mateusz Rebecki,1021.3842148898241,2025-10-25,Lightweight,False,0,False,,4-3-0
Islam Dulatov,1020.7099234801789,2025-07-19,Welterweight,False,0,False,,1-0-0
Stephanie Luciano,1020.614365061223,2025-10-18,Women's Strawweight,False,0,False,,2-1-0
Josh Hokit,1020.6,2025-11-08,Heavyweight,False,0,False,,1-0-0
Brando Pericic,1020.6,2025-09-27,Heavyweight,False,0,False,,1-0-0
Trey Waters,1020.5462285128291,2025-09-06,Welterweight,False,0,False,,2-1-0
Donte Johnson,1020.4781189462407,2025-11-01,Middleweight,False,0,False,,1-0-0
Bia Mesquita,1020.4769218844436,2025-10-11,Women's Bantamweight,False,0,False,,1-0-0
Jacobe Smith,1019.976781981585,2025-06-28,Welterweight,False,0,False,,2-0-0
Carli Judice,1019.8497712235046,2025-07-19,Women's Flyweight,False,0,False,,2-1-0
Montse Rendon,1019.7699005709517,2025-09-13,Women's Bantamweight,False,0,False,,2-1-0
Santiago Luna,1019.7296347261645,2025-09-13,Bantamweight,False,0,False,,1-0-0
Chidi Njokuani,1019.4961006234436,2025-07-12,Welterweight,False,0,False,,5-4-0
Jakub Wiklacz,1019.1907707803871,2025-10-04,Bantamweight,False,0,False,,1-0-0
Jimmy Crute,1019.0777254027133,2025-09-27,Light Heavyweight,False,0,False,,6-4-2
Luana Carolina,1018.5649152234896,2025-09-27,Women's Bantamweight,False,0,False,,6-4-0
Axel Sola,1018.4752916514642,2025-09-06,Welterweight,False,0,False,,1-0-0
Myktybek Orolbai,1018.4038820407278,2025-06-21,Catch Weight,False,0,False,,3-1-0
Danny Silva,1018.3603735741887,2025-08-02,Featherweight,False,0,False,,2-1-0
Azamat Bekoev,1018.234926259309,2025-10-18,Middleweight,False,0,False,,2-1-0
Charlie Campbell,1018.1899488953395,2025-09-27,Lightweight,False,0,False,,2-1-0
Mason Jones,1018.148290012809,2025-09-06,Lightweight,False,0,False,,3-2-1
Marco Tulio,1018.1131966698846,2025-11-08,Middleweight,False,0,False,,2-1-0
Themba Gorimbo,1018.0384919835027,2025-11-01,Welterweight,False,0,False,,4-3-0
Taiyilake Nueraji,1017.7723266919584,2025-08-23,Welterweight,False,0,False,,1-0-0
Jhonata Diniz,1017.4310742260786,2025-10-11,Heavyweight,False,0,False,,3-2-0
Hyder Amil,1017.334376591837,2025-11-08,Featherweight,False,0,False,,3-2-0
Veronica Hardy,1017.2766548952275,2025-10-04,Women's Flyweight,False,0,False,,5-5-0
Serghei Spivac,1017.02549052889,2025-06-07,Heavyweight,False,0,False,,8-6-0
Kyle Nelson,1016.6789881357299,2025-10-18,Lightweight,False,0,False,,5-5-1
Phil Rowe,1016.0118903729884,2025-11-01,Welterweight,False,0,False,,4-4-0
Malcolm Wellmaker,1015.3236780286549,2025-11-15,Featherweight,False,0,False,,2-1-0
Christian Rodriguez,1015.2215794780064,2025-08-09,Featherweight,False,0,False,,5-4-0
ChangHo Lee,1015.0638771886978,2025-11-01,Bantamweight,False,0,False,,2-1-0
Lone'er Kavanagh,1014.7558639677776,2025-08-23,Flyweight,False,0,False,,2-1-0
Steve Erceg,1014.2885920005818,2025-08-09,Bantamweight,False,0,False,,4-3-0
Patricio Freire,1013.6358920042557,2025-07-19,Featherweight,False,0,False,,1-1-0
