Fighter,Peak Elo,Weight Class,Record
Mounir Lazzez,1107.5817455395393,Welterweight,2-2-0
Yousri Belgaroui,1107.5175221950637,Middleweight,1-0-0
Keith Hackney,1107.5002604988372,Open Weight,2-2-0
Scott Ferrozzo,1107.361628878692,Heavyweight,3-2-0
Zach Reese,1107.2396083333451,Catch Weight,4-2-1
Rodolfo Vieira,1107.1670822209057,Middleweight,6-4-0
Jutaro Nakao,1107.1265406512746,Welterweight,1-1-0
Jake Hecht,1107.083502686036,Welterweight,1-2-0
Justin Ledet,1106.920328169474,Light Heavyweight,3-4-0
Andreas Gustafsson,1106.4934370196684,Welterweight,1-1-0
Nick Hein,1106.482748903221,Lightweight,4-4-0
Maiquel Falcao,1106.327098259726,Middleweight,1-0-0
David Dvorak,1106.3265991029068,Flyweight,3-3-0
Brian Melancon,1106.104611725633,Welterweight,1-1-0
Shinsho Anzai,1105.9380394052798,Welterweight,2-2-0
Remco Pardoel,1105.8714388841283,Open Weight,3-2-0
Marco Polo Reyes,1105.6968363548176,Featherweight,4-4-0
Akihiro Gono,1105.641114031095,Welterweight,1-2-0
Anderson Silva,1105.6382025692108,Middleweight,17-7-1
Ikuhisa Minowa,1105.5395172012174,Middleweight,1-0-0
Sanae Kikuta,1105.5369616578093,Middleweight,1-0-0
Kamuela Kirk,1105.4750365978773,Lightweight,1-2-0
Dmitry Sosnovskiy,1105.4425958151867,Heavyweight,1-0-0
Hector Sandoval,1105.3713411299989,Flyweight,2-2-0
Jake Shields,1105.3160667453637,Welterweight,4-3-1
Jonny Parsons,1105.3017437701503,Welterweight,1-0-0
Lance Benoist,1105.2171354026232,Welterweight,2-2-0
Antonio Carvalho,1105.1713907737917,Featherweight,2-2-0
Maurice Greene,1105.0386474987833,Heavyweight,4-4-0
Mike Wilkinson,1104.9005335890968,Featherweight,2-2-0
Gan McGee,1104.6299053835137,Heavyweight,2-2-0
Billy Elekana,1104.611176655136,Light Heavyweight,2-1-0
Semmy Schilt,1104.6042505887012,Heavyweight,1-1-0
Ethyn Ewing,1104.5763672848018,Featherweight,1-0-0
Brian Foster,1104.5153422743572,Welterweight,3-2-0
Jason Day,1104.4391441834575,Middleweight,1-2-0
Isaac Dulgarian,1104.4046696677926,Featherweight,2-2-0
Alden Coria,1104.3686497674312,Flyweight,1-0-0
Serhiy Sidey,1104.3484225726038,Bantamweight,2-1-0
Niklas Backstrom,1104.132131928751,Featherweight,1-2-0
Stanislav Nedkov,1104.0664505490206,Light Heavyweight,1-2-1
Che Mills,1104.0448094353828,Welterweight,2-1-1
Rodrigo Nascimento,1103.9855857236003,Heavyweight,4-3-1
Lee Murray,1103.960201822691,Middleweight,1-0-0
Andrei Semenov,1103.957161210789,Middleweight,1-1-0
Tom Duquesnoy,1103.9192616559476,Bantamweight,2-1-0
Justin McCully,1103.8980542243153,Heavyweight,2-2-0
Fernando Padilla,1103.889513838369,Featherweight,2-2-0
Themba Gorimbo,1103.8869276139728,Welterweight,4-3-0
Joe Charles,1103.8440803839787,Heavyweight,2-2-0
Sam Adkins,1103.829789466064,Open Weight,2-2-0
Zubaira Tukhugov,1103.770870952811,Lightweight,5-3-1
Aliaskhab Khizriev,1103.76,Middleweight,1-0-1
James McSweeney,1103.76,Light Heavyweight,1-2-0
Rob Broughton,1103.76,Heavyweight,1-2-0
Yuki Kondo,1103.76,Light Heavyweight,1-2-0
Robert McDaniel,1103.76,Middleweight,1-2-0
Jesse Lennox,1103.76,Welterweight,1-2-0
Ricardo Abreu,1103.76,Middleweight,1-1-0
Nick Pace,1103.76,Bantamweight,1-2-0
Lance Gibson,1103.76,Middleweight,1-1-0
John Lewis,1103.76,Lightweight,1-1-0
Sasha Palatnikov,1103.76,Welterweight,1-2-0
Nathan Fletcher,1103.76,Bantamweight,1-2-0
Junie Browning,1103.76,Lightweight,1-1-0
Rolando Delgado,1103.76,Lightweight,1-2-0
Genki Sudo,1103.76,Lightweight,2-1-0
Thiago Perpetuo,1103.76,Welterweight,1-2-0
Marcos Vinicius,1103.76,Flyweight,1-2-0
Bob Cook,1103.76,Lightweight,1-0-0
Justin Lawrence,1103.76,Featherweight,1-2-0
John Cholish,1103.76,Lightweight,1-2-0
Simeon Thoresen,1103.76,Welterweight,1-2-0
Tom Murphy,1103.76,Heavyweight,1-0-0
War Machine,1103.76,Welterweight,1-1-0
Issei Tamura,1103.735836711332,Bantamweight,1-2-0
Jose Torres,1103.7231445347604,Flyweight,1-1-0
Hunter Azure,1103.6736247698625,Bantamweight,2-2-0
Tristan Connelly,1103.3774320100135,Featherweight,1-2-0
Jason Von Flue,1103.3494490888083,Welterweight,1-2-0
Jonathan Micallef,1103.2497190984977,Welterweight,1-0-0
Pascal Krauss,1103.2355018225285,Welterweight,2-2-0
Chris Kelades,1103.2079227897684,Flyweight,2-2-0
Carlo Prater,1103.1942159294604,Lightweight,1-2-0
Tony Kelley,1103.1896957906608,Bantamweight,2-2-0
Waylon Lowe,1103.1866479080907,Lightweight,2-2-0
Javier Vazquez,1103.1389510230003,Featherweight,1-0-0
Ben Nguyen,1103.0591465015602,Flyweight,4-3-0
Bibulatov Magomed,1103.0491635919486,Flyweight,1-2-0
Hans Stringer,1103.0404252729056,Light Heavyweight,1-2-0
Bruno Lopes,1103.0347859771923,Light Heavyweight,1-1-0
Cole Smith,1103.0217777920543,Bantamweight,1-2-0
Steve Bosse,1102.9883351072751,Light Heavyweight,2-1-0
Masanori Kanehara,1102.8958226775421,Bantamweight,1-2-0
Mark Schultz,1102.7151747169794,Open Weight,1-0-0
Rodolfo Bellato,1102.6504757620044,Light Heavyweight,1-1-2
Tedd Williams,1102.5781841779751,Heavyweight,1-1-0
Joe Slick,1102.5731498673813,Middleweight,1-1-0
Islam Dulatov,1102.3667173585932,Welterweight,1-0-0
Mark Godbeer,1102.3631668614255,Heavyweight,2-2-0
Tony Sims,1102.248,Lightweight,1-2-0
Christian Aguilera,1102.248,Welterweight,1-2-0
Anying Wang,1102.248,Welterweight,1-1-0
Josh Hokit,1102.248,Heavyweight,1-0-0
Rory Markham,1102.248,Welterweight,1-2-0
Nate Loughran,1102.248,Middleweight,1-1-0
Brando Pericic,1102.248,Heavyweight,1-0-0
Antonio Braga Neto,1102.248,Middleweight,1-2-0
Mackens Semerzier,1102.248,Featherweight,1-1-1
Yanal Ashmouz,1102.248,Lightweight,2-2-0
Spike Carlyle,1102.248,Featherweight,1-2-0
Ben Alloway,1102.248,Welterweight,1-2-0
Mike Ciesnolevicz,1102.248,Light Heavyweight,1-1-0
Sean McCorkle,1102.248,Heavyweight,1-2-0
Scott Morris,1102.248,Open Weight,1-1-0
Scott Bessac,1102.248,Open Weight,1-1-0
Roberto Traven,1102.248,Heavyweight,1-1-0
Sione Latu,1102.248,Heavyweight,1-0-0
Roman Mitichyan,1102.248,Welterweight,1-1-0
Tulio Palhares,1102.248,Middleweight,1-0-0
Justin Martin,1102.248,Heavyweight,1-0-0
Jon Hess,1102.248,Open Weight,1-0-0
Mike Nickels,1102.248,Light Heavyweight,1-1-0
Todd Medina,1102.248,Open Weight,1-1-0
Matt Arroyo,1102.248,Welterweight,1-2-0
Enson Inoue,1102.248,Lightweight,1-0-0
Cesar Marscucci,1102.248,Lightweight,1-0-0
Marcelo Mello,1102.248,Lightweight,1-0-0
Troy Mandaloniz,1102.248,Welterweight,1-1-0
Frank Hamaker,1102.248,Open Weight,1-0-0
Paul Jones,1102.248,Middleweight,1-1-0
Ron Waterman,1102.248,Heavyweight,2-1-1
Jonathan Wiezorek,1102.248,Heavyweight,1-0-0
Onassis Parungao,1102.248,Open Weight,1-0-0
Scott Adams,1102.248,Heavyweight,1-0-0
Alex Karalexis,1102.248,Welterweight,1-2-0
Anthony Torres,1102.248,Welterweight,1-1-0
Dwayne Cason,1102.248,Heavyweight,1-1-0
Branden Lee Hinkle,1102.248,Light Heavyweight,1-2-0
Rafael Carino,1102.248,Open Weight,1-0-0
Steve Nelmark,1102.248,Open Weight,2-1-0
Chris Brennan,1102.248,Welterweight,1-2-0
Mikey Burnett,1102.248,Lightweight,2-1-0
Austin Vanderford,1102.2162700594392,Welterweight,1-1-0
Noad Lahat,1102.2147771438629,Featherweight,2-2-0
Mark Weir,1102.2096314852981,Middleweight,1-2-0
Matt Veach,1102.1456966074009,Lightweight,1-2-0
Donte Johnson,1102.11636846194,Middleweight,1-0-0
Siyar Bahadurzada,1102.1091089756187,Welterweight,4-4-0
Lyoto Machida,1102.0920501717233,Middleweight,16-8-0
Corey Hill,1101.9893987594162,Lightweight,1-2-0
Wang Guan,1101.9831888451897,Featherweight,1-0-0
Adam Milstead,1101.9341212383601,Light Heavyweight,1-2-1
Ian Heinisch,1101.9180996259129,Middleweight,3-4-0
Tallison Teixeira,1101.9006415522524,Heavyweight,1-1-0
Shamil Gamzatov,1101.878959764855,Light Heavyweight,1-1-0
Bogdan Grad,1101.8444964337311,Featherweight,1-1-0
Cristiane Justino,1101.7930921045022,Women's Featherweight,6-1-0
Yui Chul Nam,1101.711171708182,Featherweight,1-2-0
Cameron Smotherman,1101.6888825061278,Bantamweight,1-2-0
Loik Radzhabov,1101.6873650875361,Lightweight,2-2-0
Miguel Torres,1101.6291444963942,Bantamweight,2-2-0
Joe Ellenberger,1101.6000000000001,Lightweight,1-1-0
Jim Alers,1101.6000000000001,Featherweight,1-2-1
Victor Hugo,1101.6000000000001,Featherweight,1-1-0
Tiago dos Santos e Silva,1101.6000000000001,Featherweight,2-2-0
Ramon Taveras,1101.6000000000001,Featherweight,1-2-0
Patrick Walsh,1101.6000000000001,Middleweight,1-1-0
Logan Clark,1101.6000000000001,Middleweight,1-0-0
Geraldo de Freitas,1101.6000000000001,Bantamweight,1-2-0
Bolaji Oki,1101.6000000000001,Lightweight,2-2-0
Dave Strasser,1101.6000000000001,Welterweight,1-1-0
Nah-Shon Burrell,1101.6000000000001,Welterweight,1-1-0
Ben Earwood,1101.6000000000001,Welterweight,1-0-0
Ian Loveland,1101.6000000000001,Bantamweight,1-2-0
Kyle Watson,1101.6000000000001,Lightweight,1-1-0
Naoki Inoue,1101.6000000000001,Flyweight,1-1-0
Aleksandre Topuria,1101.6000000000001,Bantamweight,1-0-0
Chris Cope,1101.6000000000001,Welterweight,1-2-0
Shamar Bailey,1101.6000000000001,Lightweight,1-2-0
Josh Stansbury,1101.6000000000001,Light Heavyweight,1-2-0
Clay Harvison,1101.6000000000001,Welterweight,1-2-0
Jeff Hougland,1101.6000000000001,Bantamweight,1-2-0
Kai Kamaka,1101.6000000000001,Featherweight,1-2-1
Mark Hughes,1101.6000000000001,Middleweight,1-0-0
Clifford Starks,1101.6000000000001,Middleweight,1-2-0
Yoshiki Takahashi,1101.6000000000001,Lightweight,1-0-0
Buddy Roberts,1101.6000000000001,Middleweight,1-1-0
John Gunther,1101.6000000000001,Lightweight,1-1-0
Nick Thompson,1101.6000000000001,Welterweight,1-1-0
Masio Fullen,1101.6000000000001,Featherweight,1-2-0
Ernest Chavez,1101.6000000000001,Featherweight,1-2-0
Dan Bobish,1101.5892634362085,Heavyweight,1-1-0
Rei Tsuruya,1101.5615603855088,Flyweight,1-1-0
Ken Stone,1101.5293548841457,Bantamweight,2-2-0
Levan Makashvili,1101.49624042292,Featherweight,1-1-1
Daichi Abe,1101.494500132881,Welterweight,1-2-0
Johnny Rhodes,1101.4648857272373,Open Weight,2-1-0
Dan Cramer,1101.4214000628222,Welterweight,1-1-0
Abu Azaitar,1101.3182519961942,Middleweight,1-2-0
Santiago Luna,1101.3080055042576,Bantamweight,1-0-0
Albert Duraev,1101.1990472219834,Middleweight,2-2-0
Natalia Silva,1101.170055738841,Women's Flyweight,7-0-0
Renato Verissimo,1101.1617656056142,Welterweight,1-2-0
Marcel Fortuna,1101.1418784717841,Light Heavyweight,1-2-0
Jamal Pogues,1101.0991393022182,Heavyweight,2-2-0
Dan Christison,1101.0387304895232,Heavyweight,1-1-0
Wesley Correira,1100.9934089480423,Heavyweight,2-2-0
Evan Elder,1100.914140204327,Lightweight,3-2-0
Ryan Janes,1100.8387919736824,Middleweight,2-2-0
Augusto Montano,1100.7618621286215,Welterweight,1-2-0
Jakub Wiklacz,1100.7260324428182,Bantamweight,1-0-0
Benito Lopez,1100.6961103746619,Bantamweight,2-2-0
Nick Denis,1100.6437205170253,Bantamweight,1-1-0
Galore Bofando,1100.6437205170253,Welterweight,1-1-0
Josh Thomson,1100.5700918529303,Lightweight,3-4-0
Ricardo Romero,1100.5540161789263,Light Heavyweight,1-2-0
Billy Ray Goff,1100.534675133604,Welterweight,1-2-0
Abdul-Kerim Edilov,1100.4961691780263,Light Heavyweight,1-0-0
Gokhan Saki,1100.4752366260589,Light Heavyweight,1-1-0
Blake Bilder,1100.2653856981308,Featherweight,1-2-0
Francisco Trevino,1100.2057871067725,Lightweight,1-2-0
Eduardo Garagorri,1100.2049412802587,Featherweight,1-2-0
Andre Roberts,1100.182289798907,Heavyweight,2-1-0
Jesus Pinedo,1100.1742584630197,Lightweight,1-1-0
Impa Kasanganay,1100.113422962142,Welterweight,2-2-0
Kevin Ferguson,1100.0910017045105,Heavyweight,1-1-0
Jarred Brooks,1100.087214563844,Flyweight,2-2-0
Ebenezer Fontes Braga,1100.0696751150501,Middleweight,1-0-0
Magomed Gadzhiyasulov,1100.042447103908,Light Heavyweight,1-1-0
Marcelo Guimaraes,1100.042447103908,Middleweight,2-2-0
Jordan Mein,1099.9978809649162,Welterweight,5-4-0
Tyrone Roberts,1099.9928520607791,Middleweight,1-0-0
Sergey Morozov,1099.9912382780344,Bantamweight,3-2-0
Brok Weaver,1099.968309313685,Catch Weight,1-2-0
Axel Sola,1099.9533149835813,Welterweight,1-0-0
Francisco Figueiredo,1099.8782688322124,Flyweight,2-2-0
Luke Jumeau,1099.8727770958653,Welterweight,2-2-0
Carlo Pedersoli Jr.,1099.8667537018944,Welterweight,1-2-0
Danny Chavez,1099.738938766088,Featherweight,1-2-1
Muin Gafurov,1099.7355990468584,Bantamweight,2-2-0
Dave Menne,1099.6385323862503,Welterweight,2-4-0
Mason Jones,1099.6001532138337,Lightweight,3-2-1
Mike Kyle,1099.5942131995535,Heavyweight,2-1-0
Felipe Silva,1099.5765031413428,Lightweight,1-2-0
Roland Delorme,1099.514477058085,Bantamweight,3-3-1
JooSang Yoo,1099.4941412268956,Catch Weight,1-1-0
Carlos Eduardo Rocha,1099.4517900287283,Welterweight,1-2-0
Luis Saldana,1099.4035322808545,Featherweight,2-1-1
Hector Urbina,1099.2547837565546,Welterweight,1-2-0
Taiyilake Nueraji,1099.1941128273152,Welterweight,1-0-0
Robelis Despaigne,1099.1483277403586,Heavyweight,1-2-0
Cristian Quinonez,1099.0409667307642,Bantamweight,1-2-0
Torrez Finney,1098.8852330376003,Middleweight,1-0-0
Mana Martinez,1098.8443963343914,Bantamweight,2-2-0
Cody Haddon,1098.7768918841548,Bantamweight,1-0-0
Robert Peralta,1098.6091798873872,Featherweight,4-3-1
Sirwan Kakai,1098.5808852945518,Bantamweight,1-1-0
Chris Clements,1098.469706271944,Welterweight,2-2-1
Antoni Hardonk,1098.4289143860867,Heavyweight,4-4-0
Carlos Newton,1098.4163642556464,Welterweight,3-4-0
Da'Mon Blackshear,1097.9998520554254,Bantamweight,5-4-1
Jose Quinonez,1097.8810863927583,Bantamweight,5-4-0
Natan Levy,1097.6205518647514,Lightweight,2-2-0
Luis Pena,1097.3712122572294,Lightweight,5-3-0
Abubakar Nurmagomedov,1097.3512279613396,Welterweight,2-2-0
John Castaneda,1097.296823435475,Featherweight,4-4-0
Maycee Barber,1097.2817513038633,Women's Flyweight,9-2-0
Gaston Bolanos,1097.2750616816768,Bantamweight,2-2-0
Ivan Jorge,1097.2495059924902,Lightweight,2-2-0
Phil Rowe,1097.123291691282,Welterweight,4-4-0
Khama Worthy,1097.0290411115036,Lightweight,2-3-0
Lucas Martins,1096.5017743905562,Featherweight,4-3-0
Kevin Aguilar,1096.148058752682,Featherweight,2-4-0
Ivan Salaverry,1096.1107509625408,Middleweight,3-4-0
Tatsuya Kawajiri,1095.9579994176133,Featherweight,3-3-0
Alatengheili,1095.793469320437,Bantamweight,5-3-1
Nick Osipczak,1095.3874909009087,Welterweight,2-3-0
Kevin Burns,1094.8279466618458,Welterweight,2-3-0
Patricio Freire,1094.726763364596,Featherweight,1-1-0
Jeff Monson,1094.5139179949615,Heavyweight,4-3-0
TJ Waldburger,1094.3392815887312,Welterweight,4-4-0
Andrew Craig,1094.0258775727132,Welterweight,3-4-0
Terrance McKinney,1094.0212478929477,Lightweight,7-4-0
Johnny Bedford,1093.7789064,Bantamweight,2-3-1
Hyun Gyu Lim,1093.6966553853317,Welterweight,3-4-0
Henrique da Silva,1093.5829370965157,Light Heavyweight,2-4-0
George Sullivan,1093.4443403843395,Welterweight,3-4-0
Tomasz Drwal,1093.4056668044623,Middleweight,3-3-0
Paul Kelly,1093.349800511614,Lightweight,5-4-0
Herbert Burns,1092.9587052768493,Featherweight,2-4-0
Hamdy Abdelwahab,1092.9541804641328,Heavyweight,2-1-1
Tony Fryklund,1092.7699702006673,Middleweight,2-2-0
Houston Alexander,1092.6431922373577,Catch Weight,2-4-0
Ramiz Brahimaj,1092.570686122028,Welterweight,5-3-0
Daniel Roberts,1092.2827149014274,Welterweight,3-4-0
Chidi Njokuani,1092.1024014008788,Welterweight,5-4-0
William Knight,1092.1000908654369,Light Heavyweight,3-4-0
Gadzhimurad Antigulov,1092.041485459528,Light Heavyweight,2-4-0
Eddie Sanchez,1091.7973386053636,Heavyweight,3-3-0
Ottman Azaitar,1091.68677944152,Lightweight,2-3-0
Joanna Jedrzejczyk,1091.5754035473435,Women's Strawweight,10-5-0
Benji Radach,1091.532633987751,Welterweight,1-1-1
Laureano Staropoli,1091.3112490296335,Middleweight,2-4-0
John Maguire,1091.242151122918,Lightweight,2-3-0
Brandon Thatch,1091.21300024956,Welterweight,2-4-0
Soa Palelei,1091.1179494695373,Heavyweight,4-3-0
Jesse Taylor,1091.0234122720783,Welterweight,1-1-0
Nick Ring,1090.9533718715172,Middleweight,3-3-0
Carlos Leal,1090.9276407396171,Welterweight,1-2-0
Paul Buentello,1090.8556238675214,Heavyweight,3-3-0
Jess Liaudin,1090.835213256,Lightweight,2-3-0
Dave Beneteau,1090.835213256,Heavyweight,3-3-0
Armen Petrosyan,1090.804857531504,Middleweight,3-4-0
Jordan Leavitt,1090.6287869000782,Lightweight,5-3-0
Brock Larson,1090.510687815227,Welterweight,3-3-0
Joe Proctor,1090.462464878353,Welterweight,4-4-0
Eugene Jackson,1090.4584745590082,Middleweight,3-4-0
Devonte Smith,1090.1692994835496,Lightweight,3-3-0
Punahele Soriano,1090.1637442690803,Welterweight,6-4-0
Gabriel Santos,1090.0881430030245,Featherweight,2-2-0
Chris Beal,1090.0583691124853,Bantamweight,2-3-0
Jake Rosholt,1090.0570272225316,Middleweight,1-2-0
Jason Brilz,1089.9977588389947,Light Heavyweight,3-4-0
Mark Hall,1089.7499095174621,Open Weight,4-3-0
Desmond Green,1089.6431542694254,Lightweight,4-3-0
Daniel Zellhuber,1089.6345746309114,Lightweight,3-3-0
Michael Trizano,1089.6185602864118,Featherweight,4-3-0
Dylan Andrews,1089.4802100113802,Middleweight,2-3-0
Omar Morales,1089.4082611108774,Lightweight,3-4-0
Pablo Garza,1089.273956228566,Featherweight,3-3-0
Tony Gravely,1089.2384535618437,Bantamweight,4-4-0
Tsuyoshi Kohsaka,1089.1660536955649,Heavyweight,3-3-0
Zach Makovsky,1088.9063825701646,Flyweight,3-4-0
Hugo Viana,1088.9013129754017,Bantamweight,3-3-0
Jason Saggo,1088.6926659548133,Lightweight,3-3-0
David Heath,1088.6887116782193,Light Heavyweight,2-3-0
Tony DeSouza,1088.6882569271604,Welterweight,3-3-0
Nicholas Musoke,1088.5120052391685,Welterweight,3-3-0
Timmy Cuamba,1088.489648098416,Bantamweight,2-2-0
Julio Arce,1088.4826877176797,Featherweight,6-4-0
Vitor Miranda,1088.4347575634051,Middleweight,3-4-0
Ildemar Alcantara,1088.0845460412058,Middleweight,4-3-0
Bassil Hafez,1087.8486434897868,Welterweight,1-2-0
Bekzat Almakhan,1087.7264192446266,Bantamweight,1-1-0
Jimy Hettes,1087.5986937404016,Featherweight,3-3-0
Rogerio Bontorin,1087.3430397400355,Flyweight,2-3-1
Robert Bryczek,1087.3256399213792,Middleweight,1-1-0
Rodrigo Damm,1087.298065996709,Lightweight,3-4-0
Oskar Piechota,1087.1087202040512,Middleweight,2-3-1
David Bielkheden,1086.6747939301517,Lightweight,1-2-0
Sultan Aliev,1086.0835844514013,Welterweight,2-2-0
Francimar Barroso,1085.9302605807013,Light Heavyweight,4-4-1
Amaury Bitetti,1085.6576460473589,Middleweight,1-1-0
Martin Bravo,1085.62788,Featherweight,1-3-0
Greg Soto,1085.6215661763495,Welterweight,1-2-0
Carlos Vera,1085.3935763365907,Bantamweight,1-1-0
Caolan Loughran,1085.3531257149948,Bantamweight,2-2-0
Batgerel Danaa,1085.3348852055851,Bantamweight,3-4-0
Augusto Mendes,1085.174814757833,Bantamweight,1-2-0
Jason DeLucia,1085.1074899505436,Middleweight,1-2-0
Austin Bashi,1084.9490973446148,Featherweight,1-1-0
Julianna Pena,1084.799405248391,Women's Bantamweight,8-4-0
Klidson Abreu,1084.6904640313828,Light Heavyweight,1-2-1
Jose Ochoa,1084.3298628059372,Flyweight,1-2-0
Lyman Good,1084.2990867665767,Welterweight,3-3-0
Uran Satybaldiev,1084.1826291033944,Light Heavyweight,1-1-0
Josh Culibao,1083.994197745249,Featherweight,3-4-1
Curt Warburton,1083.9785448986747,Lightweight,1-2-0
Irwin Rivera,1083.9403352174038,Bantamweight,1-2-0
Gustavo Lopez,1083.8988891110844,Bantamweight,1-2-1
Parker Porter,1083.8567329356144,Heavyweight,4-4-0
Bruno Santos,1083.6124442607968,Middleweight,1-2-0
Valmir Lazaro,1083.506318657775,Lightweight,1-2-0
Andrey Pulyaev,1083.4590854334765,Middleweight,1-1-0
Eddie Gordon,1083.207924,Middleweight,1-3-0
Mads Burnell,1083.1192987333634,Featherweight,1-2-0
Nick Sanzo,1083.036360338441,Lightweight,1-1-0
Rameau Thierry Sokoudjou,1083.0215331921406,Light Heavyweight,1-2-0
Geza Kalman,1082.9852574628271,Open Weight,1-1-0
Travis Fulton,1082.8836680965328,Heavyweight,1-1-0
Sumudaerji,1082.8781596563067,Flyweight,5-4-0
Dale Hartt,1082.839842536545,Lightweight,1-2-0
Xiao Long,1082.52127941778,Bantamweight,1-2-0
Luke Zachrich,1082.502481054537,Middleweight,1-2-0
Mickael Lebout,1082.4267272412121,Lightweight,1-2-0
Shayilan Nuerdanbieke,1082.3160897768912,Featherweight,3-3-0
Ozzy Diaz,1082.2949633190726,Middleweight,1-1-0
Allen Crowder,1082.2538034486256,Heavyweight,1-2-0
Colton Smith,1082.1708,Lightweight,1-3-0
Jonathan Brookins,1082.1708,Featherweight,2-3-0
Djorden Santos,1081.6732484896856,Middleweight,1-1-0
Tarec Saffiedine,1081.5725578228382,Welterweight,2-4-0
Ian Entwistle,1081.5603005753687,Bantamweight,1-2-0
Tai Bowden,1081.5603005753687,Open Weight,1-1-0
Rob MacDonald,1081.5603005753687,Light Heavyweight,1-2-0
Felipe Bunes,1081.4865553332288,Flyweight,1-2-0
Henry Martinez,1081.3522134132704,Lightweight,1-2-0
Roger Narvaez,1081.3312668420542,Middleweight,1-2-0
Denis Kang,1081.3161476984806,Middleweight,1-2-0
Julius Walker,1081.315961321809,Light Heavyweight,1-1-0
KJ Noons,1081.2584815688842,Lightweight,2-3-1
Jonathan Meunier,1081.258257354848,Welterweight,1-1-0
Steve Bruno,1081.230266496855,Welterweight,1-2-0
Joe Moreira,1081.1344067880714,Lightweight,1-1-0
Michael Aswell Jr.,1080.9087938563864,Featherweight,1-1-0
John Salter,1080.880127666543,Middleweight,1-2-0
Pete Rodriguez,1080.8130239604716,Welterweight,1-2-0
Raulian Paiva,1080.6404836103723,Bantamweight,3-4-0
Per Eklund,1080.575285221229,Lightweight,1-2-0
Eddie Yagin,1080.5687070823215,Featherweight,1-1-0
Eric McConico,1080.2923328879133,Middleweight,1-2-0
Orlando Wiet,1080.2748437181272,Open Weight,1-1-0
Brad Kohler,1080.219370094377,Heavyweight,1-1-0
Jack Nilson,1080.1102037072897,Lightweight,1-1-0
John Gunderson,1080.1007971381143,Lightweight,1-2-0
Marcus Bossett,1080.0292765426832,Open Weight,1-2-0
Cal Worsham,1079.952198079118,Open Weight,1-2-0
Ismail Naurdiev,1079.9199504370745,Middleweight,3-3-0
Callan Potter,1079.802108373409,Welterweight,1-2-0
Colby Thicknesse,1079.7926259610892,Bantamweight,1-1-0
Anton Kuivanen,1079.7755207674957,Lightweight,1-2-0
Robert Sanchez,1079.7193829670553,Flyweight,1-2-0
Gauge Young,1079.6735096983368,Lightweight,1-1-0
Fabiano Iha,1079.4707892650226,Lightweight,3-4-0
Cyrille Diabate,1079.4487408236073,Light Heavyweight,4-4-0
Marcus LeVesseur,1079.4200709382746,Lightweight,1-2-0
Lucas Rocha,1079.4034558004444,Flyweight,1-1-0
Nathan Coy,1079.3920895953734,Welterweight,1-2-0
Aaron Rosa,1079.2893731827749,Light Heavyweight,1-2-0
Ron Stallings,1079.2630807827331,Middleweight,1-2-0
Benardo Sopaj,1079.0412203091737,Bantamweight,1-1-0
Ismael Bonfim,1078.6760704293706,Lightweight,2-3-0
Raphael Pessoa,1078.6722746354558,Heavyweight,1-2-0
Charles McCarthy,1078.5894440950171,Middleweight,1-2-0
David Michaud,1078.3797665845088,Lightweight,1-2-0
Jacob Malkoun,1078.3508277993892,Middleweight,4-3-0
Keith Rockel,1078.2670759421305,Middleweight,1-1-0
Matt Hobar,1078.1890610274363,Bantamweight,1-2-0
Jamall Emmers,1078.0784813137261,Featherweight,5-4-0
Daniel Barez,1077.820156065717,Flyweight,1-2-0
Steven Nguyen,1077.5439110878258,Featherweight,1-1-0
Rob Emerson,1077.3390261542556,Lightweight,3-3-1
Drew Fickett,1077.2700364662737,Welterweight,4-3-0
Matthew Lopez,1076.7961432011546,Bantamweight,2-4-0
Orion Cosce,1076.4144921325362,Welterweight,1-2-0
Goran Reljic,1075.9646991995528,Light Heavyweight,1-3-0
James Head,1075.3718897916563,Welterweight,2-3-0
Matheus Camilo,1075.3307839957874,Lightweight,1-1-0
Pawel Pawlak,1074.9370664699645,Welterweight,1-2-0
Piotr Hallmann,1074.3018031609363,Lightweight,2-4-0
Mike Grundy,1073.8662676198187,Featherweight,1-3-0
Reza Madadi,1073.8504294548702,Lightweight,3-4-0
Will Brooks,1073.7886558730531,Lightweight,1-3-0
Zak Ottow,1073.7715238574397,Welterweight,4-4-0
Gabe Green,1073.4976360964763,Lightweight,3-3-0
Brian Johnston,1073.2421578356748,Heavyweight,2-4-0
Edgar Chairez,1073.1166992788462,Flyweight,2-2-1
Diego Nunes,1072.9436112098576,Featherweight,3-3-0
Isaac Vallie-Flagg,1072.8735057495303,Lightweight,1-3-0
Yoshiyuki Yoshida,1072.819327356092,Welterweight,2-3-0
Shane Roller,1072.6240427842815,Lightweight,2-4-0
Darrick Minner,1072.491560546651,Featherweight,2-4-0
Sheymon Moraes,1072.4861104232064,Featherweight,2-3-0
Leandro Issa,1072.4557135618413,Bantamweight,2-3-0
Tom Niinimaki,1072.3279117754582,Featherweight,1-3-0
Bart Palaszewski,1072.3155726051648,Featherweight,1-3-0
Lucas Almeida,1072.2479929610465,Featherweight,2-4-0
Dustin Kimura,1072.182165870604,Bantamweight,2-3-0
Andrew Holbrook,1072.155027699691,Lightweight,2-3-0
Neil Seery,1072.1049515939699,Flyweight,3-4-0
Humberto Bandenay,1072.0063567837583,Featherweight,1-3-0
